x,y,id
0,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,3
6,0,8
7,0,8
8,0,1
9,0,1
10,0,1
11,0,2
12,0,1
13,0,1
14,0,1
0,1,1
1,1,1
2,1,3
3,1,3
4,1,9
5,1,3
6,1,8
7,1,3
8,1,3
9,1,7
10,1,0
11,1,2
12,1,2
13,1,2
14,1,1
0,2,1
1,2,1
2,2,1
3,2,3
4,2,3
5,2,3
6,2,3
7,2,3
8,2,7
9,2,7
10,2,0
11,2,0
12,2,0
13,2,2
14,2,2
0,3,1
1,3,1
2,3,1
3,3,1
4,3,1
5,3,3
6,3,3
7,3,3
8,3,3
9,3,7
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
0,4,5
1,4,5
2,4,5
3,4,1
4,4,1
5,4,3
6,4,3
7,4,8
8,4,8
9,4,0
10,4,0
11,4,0
12,4,9
13,4,0
14,4,0
0,5,4
1,5,4
2,5,1
3,5,1
4,5,1
5,5,3
6,5,8
7,5,8
8,5,8
9,5,8
10,5,8
11,5,0
12,5,0
13,5,0
14,5,0
0,6,1
1,6,4
2,6,1
3,6,1
4,6,1
5,6,8
6,6,8
7,6,8
8,6,8
9,6,8
10,6,0
11,6,0
12,6,0
13,6,0
14,6,0
0,7,1
1,7,6
2,7,6
3,7,1
4,7,3
5,7,3
6,7,3
7,7,8
8,7,8
9,7,8
10,7,0
11,7,0
12,7,7
13,7,7
14,7,7
0,8,1
1,8,6
2,8,6
3,8,1
4,8,3
5,8,3
6,8,3
7,8,8
8,8,8
9,8,8
10,8,0
11,8,0
12,8,0
13,8,0
14,8,7
0,9,1
1,9,6
2,9,6
3,9,6
4,9,1
5,9,1
6,9,1
7,9,1
8,9,1
9,9,1
10,9,1
11,9,0
12,9,0
13,9,0
14,9,7
0,10,1
1,10,1
2,10,6
3,10,6
4,10,5
5,10,5
6,10,3
7,10,8
8,10,8
9,10,8
10,10,1
11,10,7
12,10,7
13,10,7
14,10,7
0,11,1
1,11,1
2,11,1
3,11,4
4,11,1
5,11,5
6,11,5
7,11,0
8,11,8
9,11,8
10,11,1
11,11,1
12,11,0
13,11,9
14,11,0
0,12,3
1,12,3
2,12,4
3,12,4
4,12,1
5,12,0
6,12,0
7,12,0
8,12,0
9,12,8
10,12,1
11,12,1
12,12,1
13,12,1
14,12,0
0,13,3
1,13,9
2,13,4
3,13,1
4,13,1
5,13,0
6,13,0
7,13,0
8,13,0
9,13,8
10,13,8
11,13,1
12,13,1
13,13,0
14,13,7
0,14,3
1,14,3
2,14,4
3,14,1
4,14,1
5,14,7
6,14,7
7,14,7
8,14,0
9,14,8
10,14,8
11,14,1
12,14,1
13,14,7
14,14,7
